per_fill,bits,num_of_insertion_call,num_of_insert,length_of_sequence,num_of_buckets,bucket_size,MNK,avg_MNK,sum_MNK,reduce,tp,fp,fn,tn,not_stored,random,insertion_time,insertion_time_avg,fingerprint_size,row_fill
0.0930838,2.97868e+07,930838,930838,10,10000,1000,100,0,0,1,9915,0,0,0,0,True,6381.4,0.00685554,18,0
0.116355,2.97868e+07,930838,930838,10,8000,1000,100,0,0,1,9924,0,0,0,0,True,6061.13,0.00651147,18,0
0.15514,2.97868e+07,930838,930838,10,6000,1000,100,0,0,1,9902,0,0,0,0,True,5762.93,0.00619112,18,0
0.186168,2.97868e+07,930838,930838,10,5000,1000,100,0,0,1,9911,0,0,0,0,True,6352.77,0.00682478,18,0
0.23271,2.97868e+07,930838,930838,10,4000,1000,100,0,0,1,9913,0,0,0,0,True,6336.39,0.00680719,18,0
0.310279,2.97868e+07,930838,930838,10,3000,1000,100,0,0,1,9908,0,0,0,0,True,6213.05,0.00667468,18,0
0.465419,2.97868e+07,930838,930838,10,2000,1000,100,0,0,1,9917,0,0,0,0,True,5991.14,0.00643628,18,0
0.930838,2.97868e+07,930838,930838,10,1000,1000,100,0,0,1,9901,0,0,0,0,True,6209.6,0.00667098,18,0
0.930838,2.97868e+07,930840,930838,10,1000,1000,100,2.1486e-06,2,0,9916,0,0,0,0,True,6161.19,0.00661898,18,15
0.465419,2.97868e+07,930838,930838,10,2000,1000,100,0,0,0,9894,0,0,0,0,True,6568.58,0.00705663,18,0
0.310279,2.97868e+07,930838,930838,10,3000,1000,100,0,0,0,9912,0,0,0,0,True,5956.62,0.0063992,18,0
0.23271,2.97868e+07,930838,930838,10,4000,1000,100,0,0,0,9911,0,0,0,0,True,6309.1,0.00677787,18,0
0.186168,2.97868e+07,930838,930838,10,5000,1000,100,0,0,0,9915,0,0,0,0,True,6809.55,0.0073155,18,0
0.15514,2.97868e+07,930838,930838,10,6000,1000,100,0,0,0,9910,0,0,0,0,True,6503.24,0.00698644,18,0
0.132977,2.97868e+07,930838,930838,10,7000,1000,100,0,0,0,9906,0,0,0,0,True,6159.53,0.00661719,18,0
0.116355,2.97868e+07,930838,930838,10,8000,1000,100,0,0,0,9922,0,0,0,0,True,6527.95,0.00701298,18,0
