per_fill,bits,num_of_insertion_call,num_of_insert,num_of_buckets,bucket_size,MNK,reduce,tp,fp,fn,tn,not_stored,random,insertion_time,insertion_time_avg,fingerprint_size
0.065,2080,65,65,100,10,1000,0,10,0,0,0,0,True,0,0,18
0.066,2112,66,66,100,10,1000,0,10,0,0,0,0,True,1,0.0151515,18
0.066,2112,66,66,100,10,1000,0,10,0,0,0,0,True,0,0,18
0.066,2112,66,66,100,10,1000,0,10,0,0,0,0,True,0,0,18
0.066,2112,66,66,100,10,1000,0,10,0,0,0,0,True,0,0,18
0.066,2112,66,66,100,10,1000,0,10,0,0,0,0,True,0,0,18
0.066,2112,66,66,100,10,1000,0,10,0,0,0,0,True,2,0.030303,18
0.066,2112,66,66,100,10,1000,0,10,0,0,0,0,True,2,0.030303,18
0.066,2112,66,66,100,10,1000,0,10,0,0,0,0,True,0,0,18
0.066,2112,66,66,100,10,1000,0,10,0,0,0,0,True,1,0.0151515,18
0.066,2112,66,66,100,10,1000,0,10,0,0,0,0,True,0,0,18
0.066,2112,66,66,100,10,1000,0,10,0,0,0,0,True,1,0.0151515,18
0.33,2112,66,66,20,10,100,0,10,0,0,0,0,True,1,0.0151515,18
0.66,2112,66,66,20,5,100,0,10,0,0,0,0,True,0,0,18
0.66,2112,66,66,20,5,100,0,10,0,0,0,0,True,0,0,18
0.66,2112,66,66,20,5,100,0,7,0,0,0,0,True,0,0,18
0.63,2016,64,63,20,5,100,0,8,0,0,0,0,True,0,0,18
0.63,2016,63,63,20,5,100,0,8,0,0,0,0,True,0,0,18
0.63,2016,64,63,20,5,100,0,6,0,1,0,0,True,0,0,18
0.66,2112,68,66,20,5,100,0,7,0,0,0,0,True,0,0,18
